"
My document is called letter.doc and it is 1 page long. Can you print it?",letter.doc,1
"
My document is called letter.doc and it is 1 page long. Can you print it for me?",letter.doc,1
"
My document is called letter.doc and it is 1 page long. Can you print it?",letter.doc,1
"
Hi! I need to print my boarding pass. The document is called boarding_pass.pdf and it is 1 page long.",boarding_pass.pdf,1
"
My document is called letter.doc and it is 1 page long. Can you print it?",letter.doc,1
"
My document is called letter.doc and it is 1 page long. Can you print it for me?",letter.doc,1
"
Can you please print my document? It is called letter.doc and it is 1 page long.",letter.doc,1
"
Hi! Can you print my document? It's called letter.doc and it's 1 page long.",letter.doc,1
"
My document is called budget.xls and it is 100 pages long. Can you print it?",budget.xls,100
"
My document is called letter.doc and it is 1 page long. Can you print it for me?",letter.doc,1
"
Hello! My document is called memo.doc and it is 1 page long. Can you print it for me?",memo.doc,1
"
Can you print my document called letter.doc? It is only 1 page long.",letter.doc,1
"
My document is called letter.doc and it is 1 page long. Can you print it for me?",letter.doc,1
"
Can you print my letter? The document is called letter.doc and it is 1 page long.",letter.doc,1
"
Can you print my 100 pages document? It is called thesis.docx,thesis.docx,100

My document is called paper.doc and it is 500 pages long. Can you print it?",paper.doc,500
